party,leftright,consprog
50plus,-81,-58
denk,-278,151
cda,21,-105
pvv,-61,-304
sgp,135,-194
fvd,275,-301
vvd,216,-85
d66,-20,270
cu,-83,56
ja21,236,-232
pvdd,-393,252
sp,-395,153
gl,-278,259
pvda,-254,190
